id	direction	physical_keys	expected_action	expected_original	expected_replacement	expected_tier	rule
k2l-consonantJamoMash-025	korean_to_latin	strag	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-026	korean_to_latin	swager	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-027	korean_to_latin	swear	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-028	korean_to_latin	tave	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-029	korean_to_latin	taxed	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-030	korean_to_latin	tead	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-031	korean_to_latin	vega	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-032	korean_to_latin	vera	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-033	korean_to_latin	veta	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-034	korean_to_latin	wade	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-035	korean_to_latin	wafd	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-036	korean_to_latin	wes	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-037	korean_to_latin	wet	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-038	korean_to_latin	weta	preserve	-	-	-	consonantJamoMash
k2l-consonantJamoMash-039	korean_to_latin	zac	preserve	-	-	-	consonantJamoMash
k2l-englishStructure-000	korean_to_latin	acetabular	correct	ㅁㅊㄷㅅ뮤ㅕㅣㅁㄱ	acetabular	high	englishStructure
k2l-englishStructure-001	korean_to_latin	aftertimes	correct	ㅁㄹㅅㄷㄱ샤ㅡㄷㄴ	aftertimes	high	englishStructure
k2l-englishStructure-002	korean_to_latin	anthemy	correct	무소드ㅛ	anthemy	high	englishStructure
k2l-englishStructure-003	korean_to_latin	awfu	correct	ㅁㅈ려	awfu	high	englishStructure
k2l-englishStructure-004	korean_to_latin	backtenter	correct	ㅠㅁ찻둣ㄷㄱ	backtenter	high	englishStructure
k2l-englishStructure-005	korean_to_latin	berattle	correct	ㅠㄷㄱㅁㅅ싣	berattle	high	englishStructure
k2l-englishStructure-006	korean_to_latin	bitriseptate	correct	ㅠㅑㅅ갼뎃ㅁㅅㄷ	bitriseptate	high	englishStructure
k2l-englishStructure-007	korean_to_latin	bristlewort	correct	ㅠ갼싣잯	bristlewort	high	englishStructure
k2l-englishStructure-008	korean_to_latin	envisagement	correct	두퍈ㅁㅎ드둣	envisagement	high	englishStructure
k2l-englishStructure-009	korean_to_latin	eunomy	correct	뎌ㅜㅐㅡㅛ	eunomy	high	englishStructure
k2l-englishStructure-010	korean_to_latin	exalted	correct	ㄷㅌ밋ㄷㅇ	exalted	high	englishStructure
k2l-englishStructure-011	korean_to_latin	gangly	correct	ㅎ무히ㅛ	gangly	high	englishStructure
k2l-englishStructure-012	korean_to_latin	germproof	correct	ㅎㄷ그ㅔ개ㅐㄹ	germproof	high	englishStructure
k2l-englishStructure-013	korean_to_latin	guatambu	correct	혐ㅅ므ㅠㅕ	guatambu	high	englishStructure
k2l-englishStructure-014	korean_to_latin	inexist	correct	ㅑㅜㄷ탼ㅅ	inexist	high	englishStructure
k2l-englishStructure-015	korean_to_latin	lucretian	correct	ㅣㅕㅊㄱㄷ샤무	lucretian	high	englishStructure
k2l-englishStructure-016	korean_to_latin	meroblastic	correct	ㅡㄷ개ㅠㅣㅁㄴ샻	meroblastic	high	englishStructure
k2l-englishStructure-017	korean_to_latin	metrify	correct	ㅡㄷㅅ갸료	metrify	high	englishStructure
k2l-englishStructure-018	korean_to_latin	myoglobin	correct	ㅡㅛㅐ히ㅐㅠㅑㅜ	myoglobin	high	englishStructure
k2l-englishStructure-019	korean_to_latin	nonfissile	correct	ㅜㅐㅜ랸냐ㅣㄷ	nonfissile	high	englishStructure
k2l-englishStructure-020	korean_to_latin	probity	correct	ㅔ개ㅠㅑ쇼	probity	high	englishStructure
k2l-englishStructure-021	korean_to_latin	pursuitmeter	correct	ㅔㅕㄱ녀ㅑ슫ㅅㄷㄱ	pursuitmeter	high	englishStructure
k2l-englishStructure-022	korean_to_latin	quadrisetose	correct	볌ㅇ갼ㄷ샌ㄷ	quadrisetose	high	englishStructure
k2l-englishStructure-023	korean_to_latin	rewiden	correct	ㄱㄷ쟝두	rewiden	high	englishStructure
k2l-englishStructure-024	korean_to_latin	sartorian	correct	ㄴㅁㄱ새갸무	sartorian	high	englishStructure
k2l-englishStructure-025	korean_to_latin	scoldenore	correct	ㄴ채ㅣㅇ두ㅐㄱㄷ	scoldenore	high	englishStructure
k2l-englishStructure-026	korean_to_latin	semblance	correct	ㄴ드ㅠㅣ뭋ㄷ	semblance	high	englishStructure
k2l-englishStructure-027	korean_to_latin	stromateidae	correct	ㄴㅅ개ㅡㅁㅅ댱ㅁㄷ	stromateidae	high	englishStructure
k2l-englishStructure-028	korean_to_latin	sunup	correct	녀ㅜㅕㅔ	sunup	high	englishStructure
k2l-englishStructure-029	korean_to_latin	surrenal	correct	녁ㄱ두미	surrenal	high	englishStructure
k2l-englishStructure-030	korean_to_latin	tautological	correct	ㅅ며새ㅣㅐ햧미	tautological	high	englishStructure
k2l-englishStructure-031	korean_to_latin	unarchdeacon	correct	ㅕㅜㅁㄱ총ㄷㅁ채ㅜ	unarchdeacon	high	englishStructure
k2l-englishStructure-032	korean_to_latin	unchanneled	correct	ㅕㅜ초무ㅜ딛ㅇ	unchanneled	high	englishStructure
k2l-englishStructure-033	korean_to_latin	undergrass	correct	ㅕㅜㅇㄷㄱㅎㄱㅁㄴㄴ	undergrass	high	englishStructure
k2l-englishStructure-034	korean_to_latin	unsatire	correct	ㅕㅜㄴㅁ샥ㄷ	unsatire	high	englishStructure
k2l-englishStructure-035	korean_to_latin	uralium	correct	ㅕㄱ미ㅑㅕㅡ	uralium	high	englishStructure
k2l-englishStructure-036	korean_to_latin	vaginodynia	correct	ㅍㅁ햐ㅜㅐ요ㅜㅑㅁ	vaginodynia	high	englishStructure
k2l-englishStructure-037	korean_to_latin	vagrant	correct	ㅍㅁㅎㄱ뭇	vagrant	high	englishStructure
k2l-englishStructure-038	korean_to_latin	waiwode	correct	ㅈ먀쟁ㄷ	waiwode	high	englishStructure
k2l-englishStructure-039	korean_to_latin	yielder	correct	ㅛㅑ딩ㄷㄱ	yielder	high	englishStructure
k2l-expressiveRepetition-000	korean_to_latin	aa	preserve	-	-	-	expressiveRepetition
k2l-expressiveRepetition-001	korean_to_latin	chocho	preserve	-	-	-	expressiveRepetition
k2l-expressiveRepetition-002	korean_to_latin	chowchow	preserve	-	-	-	expressiveRepetition
k2l-expressiveRepetition-003	korean_to_latin	syasyasya	preserve	-	-	-	expressiveRepetition
k2l-expressiveRepetition-004	korean_to_latin	toetoe	preserve	-	-	-	expressiveRepetition
k2l-implausibleEnglish-000	korean_to_latin	askr	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-001	korean_to_latin	bdelloura	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-002	korean_to_latin	beauish	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-003	korean_to_latin	bhadon	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-004	korean_to_latin	bhima	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-005	korean_to_latin	brahmanize	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-006	korean_to_latin	brahmoism	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-007	korean_to_latin	brahmsite	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-008	korean_to_latin	cneoraceae	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-009	korean_to_latin	cnida	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-010	korean_to_latin	debtless	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-011	korean_to_latin	folkvangr	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-012	korean_to_latin	gahnite	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-013	korean_to_latin	johnsmas	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-014	korean_to_latin	jussiaea	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-015	korean_to_latin	misdoubt	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-016	korean_to_latin	ratsbane	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-017	korean_to_latin	schinus	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-018	korean_to_latin	schizodinic	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-019	korean_to_latin	schizogony	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-020	korean_to_latin	schizomycete	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-021	korean_to_latin	scholarly	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-022	korean_to_latin	schoolgirl	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-023	korean_to_latin	schorlaceous	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-024	korean_to_latin	schultenite	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-025	korean_to_latin	shtreimel	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-026	korean_to_latin	sphacel	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-027	korean_to_latin	sphagnum	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-028	korean_to_latin	sphenotic	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-029	korean_to_latin	spheral	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-030	korean_to_latin	sphragistic	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-031	korean_to_latin	sthenia	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-032	korean_to_latin	subtleness	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-033	korean_to_latin	tcheka	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-034	korean_to_latin	tchervonetz	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-035	korean_to_latin	unwrenched	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-036	korean_to_latin	unwriggled	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-037	korean_to_latin	unwrought	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-038	korean_to_latin	wahpekute	preserve	-	-	-	implausibleEnglish
k2l-implausibleEnglish-039	korean_to_latin	wakken	preserve	-	-	-	implausibleEnglish
k2l-markedEnglishForm-000	korean_to_latin	aegerian	correct	ㅁㄷㅎㄷ갸무	aegerian	medium	markedEnglishForm
k2l-markedEnglishForm-001	korean_to_latin	aeroscepsy	correct	ㅁㄷ갠ㅊ데뇨	aeroscepsy	medium	markedEnglishForm
k2l-markedEnglishForm-002	korean_to_latin	aesopic	correct	ㅁㄷ내ㅔㅑㅊ	aesopic	medium	markedEnglishForm
k2l-markedEnglishForm-003	korean_to_latin	aethalium	correct	ㅁㄷ소미ㅑㅕㅡ	aethalium	medium	markedEnglishForm
k2l-markedEnglishForm-004	korean_to_latin	agelaius	correct	ㅁㅎ디먀ㅕㄴ	agelaius	medium	markedEnglishForm
k2l-markedEnglishForm-005	korean_to_latin	bluey	correct	ㅠㅣㅕ됴	bluey	medium	markedEnglishForm
k2l-markedEnglishForm-006	korean_to_latin	cardooer	correct	ㅊㅁㄱ애ㅐㄷㄱ	cardooer	medium	markedEnglishForm
k2l-markedEnglishForm-007	korean_to_latin	coriariaceae	correct	채걈걈ㅊㄷㅁㄷ	coriariaceae	medium	markedEnglishForm
k2l-markedEnglishForm-008	korean_to_latin	cupressaceae	correct	쳐ㅔㄱㄷㄴㄴㅁㅊㄷㅁㄷ	cupressaceae	medium	markedEnglishForm
k2l-markedEnglishForm-009	korean_to_latin	diiambus	correct	야ㅑ므ㅠㅕㄴ	diiambus	medium	markedEnglishForm
k2l-markedEnglishForm-010	korean_to_latin	erased	correct	ㄷㄱㅁㄴㄷㅇ	erased	medium	markedEnglishForm
k2l-markedEnglishForm-011	korean_to_latin	euangiotic	correct	뎌무햐ㅐ샻	euangiotic	medium	markedEnglishForm
k2l-markedEnglishForm-012	korean_to_latin	fenouillet	correct	ㄹ두ㅐㅕㅑㅣㅣㄷㅅ	fenouillet	medium	markedEnglishForm
k2l-markedEnglishForm-013	korean_to_latin	geoidal	correct	ㅎ대ㅑㅇ미	geoidal	medium	markedEnglishForm
k2l-markedEnglishForm-014	korean_to_latin	gregariously	correct	ㅎㄱㄷㅎㅁ갸ㅐㅕ니ㅛ	gregariously	medium	markedEnglishForm
k2l-markedEnglishForm-015	korean_to_latin	gregg	correct	ㅎㄱㄷㅎㅎ	gregg	medium	markedEnglishForm
k2l-markedEnglishForm-016	korean_to_latin	gweed	correct	ㅎㅈㄷㄷㅇ	gweed	medium	markedEnglishForm
k2l-markedEnglishForm-017	korean_to_latin	helbeh	correct	ㅗ디ㅠ도	helbeh	medium	markedEnglishForm
k2l-markedEnglishForm-018	korean_to_latin	homoousia	correct	ㅙㅡㅐㅐㅕ냠	homoousia	medium	markedEnglishForm
k2l-markedEnglishForm-019	korean_to_latin	hyothyreoid	correct	ㅗㅛㅐ소ㅛㄱ대ㅑㅇ	hyothyreoid	medium	markedEnglishForm
k2l-markedEnglishForm-020	korean_to_latin	iapygian	correct	ㅑ메ㅛ햐무	iapygian	medium	markedEnglishForm
k2l-markedEnglishForm-021	korean_to_latin	iodochloride	correct	ㅑㅐ애최ㅐ걍ㄷ	iodochloride	medium	markedEnglishForm
k2l-markedEnglishForm-022	korean_to_latin	kaneh	correct	ㅏ무도	kaneh	medium	markedEnglishForm
k2l-markedEnglishForm-023	korean_to_latin	lowy	correct	ㅣㅐ죠	lowy	medium	markedEnglishForm
k2l-markedEnglishForm-024	korean_to_latin	moieter	correct	ㅡㅐㅑㄷㅅㄷㄱ	moieter	medium	markedEnglishForm
k2l-markedEnglishForm-025	korean_to_latin	moraceous	correct	ㅡㅐㄱㅁㅊ대ㅕㄴ	moraceous	medium	markedEnglishForm
k2l-markedEnglishForm-026	korean_to_latin	nallah	correct	ㅜ미ㅣ모	nallah	medium	markedEnglishForm
k2l-markedEnglishForm-027	korean_to_latin	ostraeacea	correct	ㅐㄴㅅㄱㅁㄷㅁㅊㄷㅁ	ostraeacea	medium	markedEnglishForm
k2l-markedEnglishForm-028	korean_to_latin	palaeolatry	correct	ㅔ밈대ㅣㅁㅅ교	palaeolatry	medium	markedEnglishForm
k2l-markedEnglishForm-029	korean_to_latin	pariah	correct	ㅔㅁ갸모	pariah	medium	markedEnglishForm
k2l-markedEnglishForm-030	korean_to_latin	proditorious	correct	ㅔ개야새갸ㅐㅕㄴ	proditorious	medium	markedEnglishForm
k2l-markedEnglishForm-031	korean_to_latin	protozoea	correct	ㅔ개새캗ㅁ	protozoea	medium	markedEnglishForm
k2l-markedEnglishForm-032	korean_to_latin	raiiform	correct	ㄱ먀ㅑ래그	raiiform	medium	markedEnglishForm
k2l-markedEnglishForm-033	korean_to_latin	redware	correct	ㄱㄷㅇㅈㅁㄱㄷ	redware	medium	markedEnglishForm
k2l-markedEnglishForm-034	korean_to_latin	redweed	correct	ㄱㄷㅇㅈㄷㄷㅇ	redweed	medium	markedEnglishForm
k2l-markedEnglishForm-035	korean_to_latin	reeve	correct	ㄱㄷㄷㅍㄷ	reeve	medium	markedEnglishForm
k2l-markedEnglishForm-036	korean_to_latin	serrated	correct	ㄴㄷㄱㄱㅁㅅㄷㅇ	serrated	medium	markedEnglishForm
k2l-markedEnglishForm-037	korean_to_latin	tarefa	correct	ㅅㅁㄱㄷㄹㅁ	tarefa	medium	markedEnglishForm
k2l-markedEnglishForm-038	korean_to_latin	terraceous	correct	ㅅㄷㄱㄱㅁㅊ대ㅕㄴ	terraceous	medium	markedEnglishForm
k2l-markedEnglishForm-039	korean_to_latin	unfelonious	correct	ㅕㅜㄹ디ㅐㅜㅑㅐㅕㄴ	unfelonious	medium	markedEnglishForm
k2l-modernKoreanPreserved-000	korean_to_latin	Ekfkgkrl	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-001	korean_to_latin	Rmxskrh	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-002	korean_to_latin	Sodyddlsk	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-003	korean_to_latin	Thrtjddp	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-004	korean_to_latin	ahfdlqgud	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-005	korean_to_latin	ahsfhqldk	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-006	korean_to_latin	aksfyehla	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-007	korean_to_latin	cjflehlwl	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-008	korean_to_latin	dbfjqtlrdmf	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-009	korean_to_latin	dbguddmf	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-010	korean_to_latin	dlTdmsl	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-011	korean_to_latin	dldj	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-012	korean_to_latin	dlqek	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-013	korean_to_latin	duqorgud	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-014	korean_to_latin	ekdnsfhemdp	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-015	korean_to_latin	fleldqkddptj	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-016	korean_to_latin	qhdlqslRk	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-017	korean_to_latin	qjscpfmf	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-018	korean_to_latin	qkRkxWhrdp	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-019	korean_to_latin	qordjqgkrlfmf	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-020	korean_to_latin	rjadkstk	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-021	korean_to_latin	rkwudhfusms	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-022	korean_to_latin	sork	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-023	korean_to_latin	tkcldgks	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-024	korean_to_latin	tkdydehlehfhr	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-025	korean_to_latin	tkqdlqgkfurh	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-026	korean_to_latin	tmffoqmdp	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-027	korean_to_latin	tmvmfpemtlxm	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-028	korean_to_latin	todrkrehlaus	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-029	korean_to_latin	tordls	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-030	korean_to_latin	vidua	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-031	korean_to_latin	vlsfksem	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-032	korean_to_latin	vlwl	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-033	korean_to_latin	vufclf	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-034	korean_to_latin	vuswl	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-035	korean_to_latin	wjqsms	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-036	korean_to_latin	wkrdjqgkaustj	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-037	korean_to_latin	wlcnfdptj	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-038	korean_to_latin	wnrj	preserve	-	-	-	modernKoreanPreserved
k2l-modernKoreanPreserved-039	korean_to_latin	zjtjfmf	preserve	-	-	-	modernKoreanPreserved
l2k-acronymConvention-000	latin_to_korean	AHDKWUDY	preserve	-	-	-	acronymConvention
l2k-acronymConvention-001	latin_to_korean	AKREORK	preserve	-	-	-	acronymConvention
l2k-acronymConvention-002	latin_to_korean	AKWCNAGKWL	preserve	-	-	-	acronymConvention
l2k-acronymConvention-003	latin_to_korean	ANRDLS	preserve	-	-	-	acronymConvention
l2k-acronymConvention-004	latin_to_korean	AOTNRK	preserve	-	-	-	acronymConvention
l2k-acronymConvention-005	latin_to_korean	CHLWJRGHKEHLDJTTMQSLEK	preserve	-	-	-	acronymConvention
l2k-acronymConvention-006	latin_to_korean	CKADUGKRL	preserve	-	-	-	acronymConvention
l2k-acronymConvention-007	latin_to_korean	CLAORGKSMS	preserve	-	-	-	acronymConvention
l2k-acronymConvention-008	latin_to_korean	CNWJDDORDMF	preserve	-	-	-	acronymConvention
l2k-acronymConvention-009	latin_to_korean	DHVMSCOXLDQKDDLQSLEK	preserve	-	-	-	acronymConvention
l2k-acronymConvention-010	latin_to_korean	DKRTJDZHEM	preserve	-	-	-	acronymConvention
l2k-acronymConvention-011	latin_to_korean	DLQWKDWHRJS	preserve	-	-	-	acronymConvention
l2k-acronymConvention-012	latin_to_korean	DLTMZPDLVM	preserve	-	-	-	acronymConvention
l2k-acronymConvention-013	latin_to_korean	EHGUDDML	preserve	-	-	-	acronymConvention
l2k-acronymConvention-014	latin_to_korean	EKEGLWL	preserve	-	-	-	acronymConvention
l2k-acronymConvention-015	latin_to_korean	EOTKDDL	preserve	-	-	-	acronymConvention
l2k-acronymConvention-016	latin_to_korean	QJSRJFHDNF	preserve	-	-	-	acronymConvention
l2k-acronymConvention-017	latin_to_korean	QJWJSDPTJ	preserve	-	-	-	acronymConvention
l2k-acronymConvention-018	latin_to_korean	QKFRMQGKTPDY	preserve	-	-	-	acronymConvention
l2k-acronymConvention-019	latin_to_korean	QLALFQJSGHDLQSLEK	preserve	-	-	-	acronymConvention
l2k-acronymConvention-020	latin_to_korean	RHCLA	preserve	-	-	-	acronymConvention
l2k-acronymConvention-021	latin_to_korean	RHDDBFH	preserve	-	-	-	acronymConvention
l2k-acronymConvention-022	latin_to_korean	RHFL	preserve	-	-	-	acronymConvention
l2k-acronymConvention-023	latin_to_korean	RHRL	preserve	-	-	-	acronymConvention
l2k-acronymConvention-024	latin_to_korean	RMFOVLRQUFFH	preserve	-	-	-	acronymConvention
l2k-acronymConvention-025	latin_to_korean	SJGDMF	preserve	-	-	-	acronymConvention
l2k-acronymConvention-026	latin_to_korean	SOFUTTMQSLEK	preserve	-	-	-	acronymConvention
l2k-acronymConvention-027	latin_to_korean	SUSAKEK	preserve	-	-	-	acronymConvention
l2k-acronymConvention-028	latin_to_korean	TJSDID	preserve	-	-	-	acronymConvention
l2k-acronymConvention-029	latin_to_korean	TLWKREHLWL	preserve	-	-	-	acronymConvention
l2k-acronymConvention-030	latin_to_korean	TLWKRGKTLQTLDH	preserve	-	-	-	acronymConvention
l2k-acronymConvention-031	latin_to_korean	TMXMFLALDGKRH	preserve	-	-	-	acronymConvention
l2k-acronymConvention-032	latin_to_korean	VHRDL	preserve	-	-	-	acronymConvention
l2k-acronymConvention-033	latin_to_korean	VKFKD	preserve	-	-	-	acronymConvention
l2k-acronymConvention-034	latin_to_korean	VKTODDMF	preserve	-	-	-	acronymConvention
l2k-acronymConvention-035	latin_to_korean	VLFDYGKDU	preserve	-	-	-	acronymConvention
l2k-acronymConvention-036	latin_to_korean	WHRUD	preserve	-	-	-	acronymConvention
l2k-acronymConvention-037	latin_to_korean	WKDUSFHRMFMF	preserve	-	-	-	acronymConvention
l2k-acronymConvention-038	latin_to_korean	WNRHQKEDMS	preserve	-	-	-	acronymConvention
l2k-acronymConvention-039	latin_to_korean	XNVYGOTTMQSLEK	preserve	-	-	-	acronymConvention
l2k-ambiguousBothValid-000	latin_to_korean	QydQyd	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-001	latin_to_korean	aksska	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-002	latin_to_korean	aleak	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-003	latin_to_korean	anam	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-004	latin_to_korean	antemedial	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-005	latin_to_korean	antenati	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-006	latin_to_korean	clasmatosis	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-007	latin_to_korean	corpsman	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-008	latin_to_korean	cytoclasis	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-009	latin_to_korean	diaxial	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-010	latin_to_korean	doricism	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-011	latin_to_korean	doris	preserve	-	-	-	ambiguousBothValid
l2k-ambiguousBothValid-012	latin_to_korean	dorlach	preserve	-	-	-	ambiguousBothValid
