Qoftpa	뺄셈
wyfoddlemf	죠랭이들
xodid	태양
xoqaks	탭만
xorm	태그
xormsk	태그나
xorqo	택배
zoavm	캠프
zosel	캔디
zoskek	캐나다
zuens	켜둔
zurh	켜고
zurl	켜기
zuwl	켜지
zuwla	켜짐
zuwlf	켜질
zuwls	켜진
zuwu	켜져
